iter	RMSE
0	0.1403412329
1	0.1381786532
2	0.1359005296
3	0.1337010538
4	0.1314824849
5	0.1292970548
6	0.1272783539
7	0.1251753098
8	0.1231098767
9	0.121175951
10	0.1191430166
11	0.1171662939
12	0.1152361749
13	0.1134319135
14	0.1116647948
15	0.1099327479
16	0.1082239399
17	0.1065613902
18	0.104959159
19	0.1033141756
20	0.1016797899
21	0.1001649602
22	0.09858138284
23	0.09703456134
24	0.09557521383
25	0.09416169031
26	0.09278064975
27	0.09147444595
28	0.09018900943
29	0.08894414228
30	0.08764424498
31	0.08639603609
32	0.08518063811
33	0.08394743737
34	0.08272928889
35	0.08155748092
36	0.08041084276
37	0.07928556666
38	0.07821627047
39	0.07713328542
40	0.07607953244
41	0.07506074933
42	0.07403632733
43	0.07305455128
44	0.0721121119
45	0.07117724996
46	0.07022596719
47	0.06934909066
48	0.06846768336
49	0.06766084886
50	0.06682458388
51	0.0660242473
52	0.06523852718
53	0.06441836109
54	0.06367833023
55	0.062924132
56	0.06217103414
57	0.06146969885
58	0.06077066644
59	0.06012951358
60	0.05950232041
61	0.05882698015
62	0.05822447262
63	0.05759167211
64	0.0569641099
65	0.05637672725
66	0.05578959798
67	0.05522719048
68	0.05467798758
69	0.05413703566
70	0.05359672875
71	0.05307906645
72	0.05258730165
73	0.05210685327
74	0.05161770339
75	0.05115882159
76	0.0506692271
77	0.05022240673
78	0.04975826085
79	0.04932438322
80	0.04891613826
81	0.0485183129
82	0.04811921659
83	0.04770552262
84	0.04734340648
85	0.04697330413
86	0.04661419993
87	0.04626457532
88	0.04592227966
89	0.04558871185
90	0.04525621675
91	0.04491718281
92	0.0445943263
93	0.04429776323
94	0.04396470337
95	0.04365972779
96	0.04337412529
97	0.04309600863
98	0.04280175396
99	0.04252115832
100	0.04226839762
101	0.04202145009
102	0.04177147285
103	0.04151203044
104	0.04126654101
105	0.04102484666
106	0.04080004647
107	0.04059191865
108	0.04036692464
109	0.04014309618
110	0.03993000761
111	0.03973286855
112	0.03954471875
113	0.03934688824
114	0.03915364603
115	0.0389665113
116	0.03878372785
117	0.03860708953
118	0.03844259382
119	0.03825115037
120	0.03808834995
121	0.03794098581
122	0.03777989311
123	0.03762053893
124	0.03746725628
125	0.03732324665
126	0.03715449053
127	0.03700563057
128	0.03685737703
129	0.03668624403
130	0.0365556029
131	0.036425775
132	0.03630088627
133	0.03616889645
134	0.03602964695
135	0.03589271256
136	0.0357713335
137	0.03564685314
138	0.03553580734
139	0.03540601326
140	0.03528934004
141	0.03517027976
142	0.03507371257
143	0.03497046699
144	0.03487842857
145	0.03477707021
146	0.03466713441
147	0.03453910905
148	0.03442318153
149	0.03433764464
150	0.03423768592
151	0.03413586827
152	0.03405615003
153	0.03397215396
154	0.03389883923
155	0.03381801235
156	0.03372608183
157	0.03362824934
158	0.03355696003
159	0.03348920252
160	0.03341393988
161	0.03333656788
162	0.03325861619
163	0.03318347007
164	0.03310557433
165	0.033022231
166	0.03294387874
167	0.03286940607
168	0.03278874404
169	0.03271674922
170	0.03264990053
171	0.03258588725
172	0.03251918
173	0.03245237622
174	0.03239259928
175	0.03233250825
176	0.03228284307
177	0.03221620651
178	0.03215465388
179	0.03209156405
180	0.03203557071
181	0.031962354
182	0.03189606667
183	0.03183662796
184	0.03179515066
185	0.03173000018
186	0.03168089135
187	0.03164408003
188	0.03158949555
189	0.0315311091
190	0.03148072601
191	0.03142836159
192	0.03136625266
193	0.03132115013
194	0.03129164802
195	0.03122128659
196	0.03115502791
197	0.0311270364
198	0.03107667827
199	0.0310278017
200	0.03098070459
201	0.03094161449
202	0.03089936033
203	0.03085990809
204	0.03081093416
205	0.03075858154
206	0.03071916342
207	0.03067492534
208	0.03064234237
209	0.03060287778
210	0.03055553904
211	0.0305308031
212	0.03050389054
213	0.03046095404
214	0.03043100868
215	0.03039323784
216	0.0303714085
217	0.03033053366
218	0.03029686987
219	0.03025226705
220	0.03021485995
221	0.03016387638
222	0.03012773434
223	0.03009974326
224	0.03006211455
225	0.03002145784
226	0.02998649536
227	0.02995486523
228	0.02990630811
229	0.0298799162
230	0.02983797321
231	0.02980006382
232	0.02976263244
233	0.02973814228
234	0.02971166187
235	0.02968964445
236	0.02966244116
237	0.02962708491
238	0.02960396614
239	0.02957406805
240	0.02954930236
241	0.02951278337
242	0.02948365759
243	0.02945128618
244	0.02941682791
245	0.02939737717
246	0.02937115757
247	0.02933040057
248	0.02930101925
249	0.02927847273
250	0.02925150515
251	0.02922710864
252	0.02919977422
253	0.02917682643
254	0.02915364863
255	0.02912089684
256	0.02909423717
257	0.02906020462
258	0.02903364578
259	0.02900572309
260	0.02897923681
261	0.02895763294
262	0.02892775206
263	0.02890586186
264	0.0288920585
265	0.02887298124
266	0.02885310452
267	0.02883251208
268	0.02880841833
269	0.02879077222
270	0.0287765277
271	0.02875619553
272	0.02873184725
273	0.02869983317
274	0.02867182637
275	0.02864368887
276	0.02862058446
277	0.02859544067
278	0.02857099991
279	0.02855291848
280	0.02853921403
281	0.02852060395
282	0.02850801022
283	0.02848050574
284	0.0284554689
285	0.02844467534
286	0.02841772248
287	0.02839468007
288	0.02836807328
289	0.02834898106
290	0.02833448236
291	0.02831661035
292	0.02829935525
293	0.02827691501
294	0.0282565961
295	0.02822330647
296	0.02820872403
297	0.02819253756
298	0.0281790305
299	0.02816591204
300	0.02814440306
301	0.02812541884
302	0.02810704902
303	0.02808169709
304	0.02806507914
305	0.02805017329
306	0.02802795378
307	0.02800225735
308	0.02797759826
309	0.02795771459
310	0.02794203749
311	0.02792109509
312	0.02790136741
313	0.02787874954
314	0.0278593953
315	0.0278454118
316	0.02783289172
317	0.02780988295
318	0.02779670984
319	0.02778022115
320	0.02776743042
321	0.0277488094
322	0.02773359578
